Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,NA_Sales_Million,EU_Sales,EU_Sales_Million,JP_Sales,JP_Sales_Million,Other_Sales,Other_Sales_Million,Global_Sales,Global_Sales_Million
521,Finding Nemo,GBA,2003.0,Action,THQ,1.59,1.59M,1.05,1.05M,0.04,0.04M,0.14,0.14M,2.82,2.82M
522,Myst,PC,1994.0,Adventure,Red Orb,0.02,0.02M,2.79,2.79M,0.0,0.00M,0.0,0.00M,2.81,2.81M
523,Need for Speed: Hot Pursuit,PS3,2010.0,Racing,Electronic Arts,1.05,1.05M,1.25,1.25M,0.03,0.03M,0.48,0.48M,2.81,2.81M
524,Imagine: Fashion Designer,DS,2007.0,Simulation,Ubisoft,1.32,1.32M,1.19,1.19M,0.0,0.00M,0.3,0.30M,2.81,2.81M
525,WWE SmackDown! Here Comes the Pain,PS2,2003.0,Fighting,THQ,1.32,1.32M,1.06,1.06M,0.04,0.04M,0.38,0.38M,2.8,2.80M
526,Star Wars: The Force Unleashed,X360,2008.0,Action,LucasArts,1.74,1.74M,0.8,0.80M,0.0,0.00M,0.26,0.26M,2.8,2.80M
527,Yoshi's Island DS,DS,2006.0,Platform,Nintendo,1.47,1.47M,0.07,0.07M,1.1,1.10M,0.15,0.15M,2.8,2.80M
528,Hot Shots Golf,PS,1997.0,Sports,Sony Computer Entertainment,0.29,0.29M,0.2,0.20M,2.13,2.13M,0.18,0.18M,2.79,2.79M
529,Killzone 3,PS3,2011.0,Shooter,Sony Computer Entertainment,1.45,1.45M,0.88,0.88M,0.09,0.09M,0.38,0.38M,2.79,2.79M
530,A Bug's Life,PS,1998.0,Platform,Sony Computer Entertainment,1.96,1.96M,0.72,0.72M,0.0,0.00M,0.11,0.11M,2.79,2.79M
531,WWF SmackDown! Just Bring It,PS2,2001.0,Fighting,THQ,1.19,1.19M,1.15,1.15M,0.04,0.04M,0.41,0.41M,2.79,2.79M
532,Dragon Quest V: Tenkuu no Hanayome,SNES,1992.0,Role-Playing,Enix Corporation,0.0,0.00M,0.0,0.00M,2.78,2.78M,0.01,0.01M,2.79,2.79M
533,Mortal Kombat Trilogy,PS,1996.0,Fighting,GT Interactive,1.98,1.98M,0.7,0.70M,0.0,0.00M,0.11,0.11M,2.79,2.79M
534,Battlefield 3,PC,2011.0,Shooter,Electronic Arts,0.89,0.89M,1.43,1.43M,0.0,0.00M,0.48,0.48M,2.79,2.79M
535,NBA Street,PS2,2001.0,Sports,Electronic Arts,2.19,2.19M,0.22,0.22M,0.0,0.00M,0.38,0.38M,2.79,2.79M
536,Professor Layton and the Last Specter,DS,2009.0,Puzzle,Nintendo,0.3,0.30M,1.47,1.47M,0.68,0.68M,0.34,0.34M,2.79,2.79M
537,Monster Hunter Tri,3DS,2011.0,Role-Playing,Nintendo,0.46,0.46M,0.29,0.29M,1.96,1.96M,0.07,0.07M,2.79,2.79M
538,Jak II,PS2,2003.0,Platform,Sony Computer Entertainment,1.68,1.68M,0.74,0.74M,0.0,0.00M,0.36,0.36M,2.78,2.78M
539,inFAMOUS: Second Son,PS4,2014.0,Action,Sony Computer Entertainment,1.27,1.27M,0.97,0.97M,0.07,0.07M,0.47,0.47M,2.78,2.78M
540,Ratchet & Clank: Going Commando,PS2,2003.0,Platform,Sony Computer Entertainment,1.44,1.44M,0.83,0.83M,0.26,0.26M,0.25,0.25M,2.78,2.78M
541,Tekken 6,PS3,2009.0,Fighting,Namco Bandai Games,1.2,1.20M,0.98,0.98M,0.17,0.17M,0.43,0.43M,2.78,2.78M
542,The Sims,PS2,2003.0,Simulation,Electronic Arts,1.41,1.41M,1.12,1.12M,0.0,0.00M,0.24,0.24M,2.77,2.77M
543,Sonic and the Secret Rings,Wii,2007.0,Platform,Sega,1.24,1.24M,1.2,1.20M,0.04,0.04M,0.3,0.30M,2.77,2.77M
544,Saints Row: The Third,X360,2011.0,Action,THQ,1.25,1.25M,1.15,1.15M,0.07,0.07M,0.3,0.30M,2.77,2.77M
545,Missile Command,2600,1980.0,Shooter,Atari,2.56,2.56M,0.17,0.17M,0.0,0.00M,0.03,0.03M,2.76,2.76M
546,Mario Paint,SNES,1992.0,Misc,Nintendo,1.43,1.43M,0.54,0.54M,0.71,0.71M,0.07,0.07M,2.75,2.75M
547,Assassin's Creed IV: Black Flag,PS4,2013.0,Action,Ubisoft,1.07,1.07M,1.31,1.31M,0.06,0.06M,0.31,0.31M,2.74,2.74M
548,Pokémon Stadium 2,N64,2000.0,Strategy,Nintendo,1.02,1.02M,0.36,0.36M,1.13,1.13M,0.23,0.23M,2.73,2.73M
549,Metroid,NES,1986.0,Action,Nintendo,1.33,1.33M,0.31,0.31M,1.04,1.04M,0.05,0.05M,2.73,2.73M
550,L.A. Noire,X360,2011.0,Adventure,Take-Two Interactive,1.52,1.52M,0.94,0.94M,0.02,0.02M,0.24,0.24M,2.72,2.72M
551,Call of Duty 3,X360,2006.0,Shooter,Activision,1.49,1.49M,0.93,0.93M,0.02,0.02M,0.27,0.27M,2.71,2.71M
552,The Legend of Zelda: A Link to the Past,GBA,2002.0,Action,Nintendo,1.75,1.75M,0.52,0.52M,0.33,0.33M,0.1,0.10M,2.7,2.70M
553,Onimusha: Warlords,PS2,2001.0,Action,Virgin Interactive,0.99,0.99M,0.48,0.48M,1.09,1.09M,0.14,0.14M,2.7,2.70M
554,Mortal Kombat X,PS4,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.47,1.47M,0.76,0.76M,0.0,0.00M,0.47,0.47M,2.7,2.70M
555,Mario Party,N64,1998.0,Misc,Nintendo,1.25,1.25M,0.53,0.53M,0.87,0.87M,0.05,0.05M,2.7,2.70M
556,Madden NFL 12,X360,2011.0,Sports,Electronic Arts,2.42,2.42M,0.11,0.11M,0.0,0.00M,0.16,0.16M,2.69,2.69M
557,LEGO Star Wars II: The Original Trilogy,PS2,2006.0,Action,LucasArts,1.85,1.85M,0.64,0.64M,0.01,0.01M,0.19,0.19M,2.69,2.69M
558,Madden NFL 11,X360,2010.0,Sports,Electronic Arts,2.38,2.38M,0.12,0.12M,0.0,0.00M,0.18,0.18M,2.69,2.69M
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010.0,Puzzle,Nintendo,1.63,1.63M,0.52,0.52M,0.35,0.35M,0.18,0.18M,2.69,2.69M
560,Skate 3,X360,2010.0,Sports,Electronic Arts,1.46,1.46M,0.98,0.98M,0.0,0.00M,0.24,0.24M,2.68,2.68M
561,Burnout 3: Takedown,PS2,2004.0,Racing,Electronic Arts,1.23,1.23M,1.11,1.11M,0.0,0.00M,0.34,0.34M,2.68,2.68M
562,Yokai Watch 2 Shinuchi,3DS,2014.0,Role-Playing,Level 5,0.0,0.00M,0.0,0.00M,2.68,2.68M,0.0,0.00M,2.68,2.68M
563,Need for Speed: Shift,PS3,2009.0,Racing,Electronic Arts,0.69,0.69M,1.41,1.41M,0.04,0.04M,0.53,0.53M,2.68,2.68M
564,Final Fantasy XIII-2,PS3,2011.0,Role-Playing,Square Enix,0.78,0.78M,0.75,0.75M,0.89,0.89M,0.26,0.26M,2.68,2.68M
565,Mortal Kombat,GEN,1992.0,Fighting,Arena Entertainment,1.95,1.95M,0.63,0.63M,0.0,0.00M,0.09,0.09M,2.67,2.67M
566,Call Of Duty 2: Big Red One,PS2,2005.0,Shooter,Activision,1.48,1.48M,0.92,0.92M,0.01,0.01M,0.26,0.26M,2.67,2.67M
567,Guitar Hero: World Tour,X360,2008.0,Misc,Activision,1.78,1.78M,0.64,0.64M,0.0,0.00M,0.25,0.25M,2.67,2.67M
568,Medal of Honor,PS,1998.0,Shooter,Electronic Arts,1.44,1.44M,1.09,1.09M,0.0,0.00M,0.14,0.14M,2.67,2.67M
569,Fable,XB,2004.0,Role-Playing,Microsoft Game Studios,1.99,1.99M,0.58,0.58M,0.0,0.00M,0.09,0.09M,2.66,2.66M
570,Hannah Montana,DS,2006.0,Action,Disney Interactive Studios,1.59,1.59M,0.8,0.80M,0.0,0.00M,0.26,0.26M,2.65,2.65M
571,Tom Clancy's Splinter Cell,PS2,2003.0,Action,Ubisoft,1.15,1.15M,1.11,1.11M,0.0,0.00M,0.4,0.40M,2.65,2.65M
572,Skylanders Giants,Wii,2012.0,Action,Activision,1.56,1.56M,0.88,0.88M,0.0,0.00M,0.22,0.22M,2.65,2.65M
573,Medal of Honor Heroes,PSP,2006.0,Shooter,Electronic Arts,0.86,0.86M,1.11,1.11M,0.01,0.01M,0.66,0.66M,2.65,2.65M
574,Super Mario Bros.: The Lost Levels,NES,1986.0,Platform,Nintendo,0.0,0.00M,0.0,0.00M,2.65,2.65M,0.0,0.00M,2.65,2.65M
575,Star Wars: Shadows of the Empire,N64,1996.0,Action,Nintendo,2.0,2.00M,0.5,0.50M,0.12,0.12M,0.03,0.03M,2.65,2.65M
576,LEGO Star Wars: The Complete Saga,X360,2007.0,Action,LucasArts,1.53,1.53M,0.87,0.87M,0.0,0.00M,0.24,0.24M,2.64,2.64M
577,Midnight Club: Street Racing,PS2,2000.0,Racing,Take-Two Interactive,2.0,2.00M,0.47,0.47M,0.02,0.02M,0.14,0.14M,2.63,2.63M
578,Pac-Man: Adventures in Time,PSP,2006.0,Fighting,Sony Computer Entertainment,0.76,0.76M,1.1,1.10M,0.12,0.12M,0.65,0.65M,2.63,2.63M
579,Halo Wars,X360,2009.0,Strategy,Microsoft Game Studios,1.53,1.53M,0.82,0.82M,0.04,0.04M,0.24,0.24M,2.63,2.63M
580,God of War Collection,PS3,2009.0,Action,Sony Computer Entertainment,1.7,1.70M,0.46,0.46M,0.06,0.06M,0.41,0.41M,2.63,2.63M
581,ESPN NFL 2K5,PS2,2004.0,Sports,Sega,2.15,2.15M,0.12,0.12M,0.0,0.00M,0.36,0.36M,2.62,2.62M
582,Mario Strikers Charged,Wii,2007.0,Sports,Nintendo,1.07,1.07M,1.06,1.06M,0.24,0.24M,0.25,0.25M,2.62,2.62M
583,Medal of Honor,X360,2010.0,Shooter,Electronic Arts,1.55,1.55M,0.81,0.81M,0.04,0.04M,0.21,0.21M,2.62,2.62M
584,FIFA Soccer 10,X360,2009.0,Sports,Electronic Arts,0.59,0.59M,1.79,1.79M,0.01,0.01M,0.23,0.23M,2.62,2.62M
585,NBA 2K12,X360,2011.0,Sports,Take-Two Interactive,2.31,2.31M,0.14,0.14M,0.01,0.01M,0.16,0.16M,2.62,2.62M
586,Style Savvy,DS,2008.0,Simulation,Nintendo,0.63,0.63M,0.84,0.84M,0.96,0.96M,0.19,0.19M,2.61,2.61M
587,Harry Potter and the Chamber of Secrets,PS2,2002.0,Action,Electronic Arts,0.9,0.90M,1.22,1.22M,0.04,0.04M,0.44,0.44M,2.61,2.61M
588,Super Mario All-Stars: Limited Edition,Wii,2010.0,Platform,Nintendo,1.02,1.02M,0.52,0.52M,0.92,0.92M,0.14,0.14M,2.6,2.60M
589,Streets of Rage,GEN,1990.0,Action,Sega,1.86,1.86M,0.55,0.55M,0.11,0.11M,0.08,0.08M,2.6,2.60M
590,FIFA Soccer 09,PS3,2008.0,Sports,Electronic Arts,0.48,0.48M,1.63,1.63M,0.04,0.04M,0.43,0.43M,2.59,2.59M
591,Ratchet & Clank Future: Tools of Destruction,PS3,2007.0,Platform,Sony Computer Entertainment,0.93,0.93M,1.12,1.12M,0.08,0.08M,0.45,0.45M,2.59,2.59M
592,NBA Live 2005,PS2,2004.0,Sports,Electronic Arts,2.03,2.03M,0.21,0.21M,0.0,0.00M,0.35,0.35M,2.59,2.59M
593,LittleBigPlanet,PSP,2009.0,Platform,Sony Computer Entertainment,0.64,0.64M,1.24,1.24M,0.01,0.01M,0.69,0.69M,2.58,2.58M
594,Killzone: Shadow Fall,PS4,2013.0,Shooter,Sony Computer Entertainment,0.89,0.89M,1.33,1.33M,0.07,0.07M,0.28,0.28M,2.58,2.58M
595,Ghostbusters: The Video Game (DS Version),X360,2009.0,Action,Take-Two Interactive,1.04,1.04M,1.24,1.24M,0.03,0.03M,0.27,0.27M,2.58,2.58M
596,Monster Hunter Freedom 2,PSP,2007.0,Role-Playing,Capcom,0.37,0.37M,0.27,0.27M,1.75,1.75M,0.18,0.18M,2.58,2.58M
597,WWE SmackDown vs. RAW 2007,PS2,2006.0,Fighting,THQ,1.4,1.40M,0.88,0.88M,0.03,0.03M,0.26,0.26M,2.58,2.58M
598,Ratchet & Clank: Up Your Arsenal,PS2,2004.0,Platform,Sony Computer Entertainment,1.31,1.31M,0.74,0.74M,0.31,0.31M,0.22,0.22M,2.57,2.57M
599,Art Academy,DS,2010.0,Misc,Nintendo,0.28,0.28M,1.68,1.68M,0.33,0.33M,0.28,0.28M,2.57,2.57M
600,Dragon Age: Origins,X360,2009.0,Role-Playing,Electronic Arts,1.76,1.76M,0.56,0.56M,0.03,0.03M,0.22,0.22M,2.57,2.57M
601,Madden NFL 08,PS2,2007.0,Sports,Electronic Arts,2.14,2.14M,0.08,0.08M,0.0,0.00M,0.35,0.35M,2.57,2.57M
602,Sonic Adventure 2 Battle,GC,2001.0,Platform,Sega,1.7,1.70M,0.59,0.59M,0.21,0.21M,0.07,0.07M,2.56,2.56M
603,Dragon Warrior II,NES,1987.0,Role-Playing,Enix Corporation,0.15,0.15M,0.0,0.00M,2.41,2.41M,0.0,0.00M,2.56,2.56M
604,Madden NFL 13,PS3,2012.0,Sports,Electronic Arts,2.11,2.11M,0.23,0.23M,0.0,0.00M,0.22,0.22M,2.56,2.56M
605,Pokémon Colosseum,GC,2003.0,Role-Playing,Nintendo,1.21,1.21M,0.57,0.57M,0.7,0.70M,0.07,0.07M,2.54,2.54M
606,Deca Sports,Wii,2008.0,Sports,Konami Digital Entertainment,1.13,1.13M,0.87,0.87M,0.29,0.29M,0.25,0.25M,2.54,2.54M
607,Madden NFL 09,X360,2008.0,Sports,Electronic Arts,2.21,2.21M,0.12,0.12M,0.0,0.00M,0.2,0.20M,2.54,2.54M
608,Space Invaders,2600,,Shooter,Atari,2.36,2.36M,0.14,0.14M,0.0,0.00M,0.03,0.03M,2.53,2.53M
609,Crazy Taxi,PS2,2001.0,Racing,Acclaim Entertainment,1.13,1.13M,1.12,1.12M,0.06,0.06M,0.22,0.22M,2.52,2.52M
610,Perfect Dark,N64,2000.0,Action,Nintendo,1.55,1.55M,0.75,0.75M,0.16,0.16M,0.06,0.06M,2.52,2.52M
611,Game Party,Wii,2007.0,Misc,Midway Games,1.5,1.50M,0.78,0.78M,0.0,0.00M,0.24,0.24M,2.52,2.52M
612,Dragon Warrior,NES,1986.0,Role-Playing,Capcom,0.49,0.49M,0.0,0.00M,0.52,0.52M,1.51,1.51M,2.52,2.52M
613,Tomb Raider (2013),PS3,2013.0,Action,Square Enix,0.6,0.60M,1.31,1.31M,0.08,0.08M,0.52,0.52M,2.51,2.51M
614,Marvel: Ultimate Alliance,X360,2006.0,Role-Playing,Activision,2.29,2.29M,0.02,0.02M,0.0,0.00M,0.19,0.19M,2.5,2.50M
615,PES 2009: Pro Evolution Soccer,PS2,2008.0,Sports,Konami Digital Entertainment,0.13,0.13M,0.07,0.07M,0.26,0.26M,2.05,2.05M,2.5,2.50M
616,Mario Party 2,N64,1999.0,Misc,Nintendo,1.28,1.28M,0.14,0.14M,1.08,1.08M,0.01,0.01M,2.5,2.50M
617,Saints Row: The Third,PS3,2011.0,Action,THQ,0.86,0.86M,1.06,1.06M,0.18,0.18M,0.39,0.39M,2.49,2.49M
618,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003.0,Action,Take-Two Interactive,1.84,1.84M,0.56,0.56M,0.0,0.00M,0.09,0.09M,2.49,2.49M
619,LEGO Harry Potter: Years 1-4,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,1.29,1.29M,0.97,0.97M,0.0,0.00M,0.23,0.23M,2.49,2.49M
620,Mortal Kombat: Deadly Alliance,PS2,2002.0,Fighting,Midway Games,1.81,1.81M,0.52,0.52M,0.0,0.00M,0.15,0.15M,2.49,2.49M
621,Resistance 2,PS3,2008.0,Shooter,Sony Computer Entertainment,1.15,1.15M,0.85,0.85M,0.1,0.10M,0.39,0.39M,2.48,2.48M
622,Pure,X360,2008.0,Racing,Disney Interactive Studios,1.38,1.38M,0.85,0.85M,0.0,0.00M,0.25,0.25M,2.48,2.48M
623,Tomb Raider: The Last Revelation,PS,1998.0,Action,Eidos Interactive,1.15,1.15M,1.14,1.14M,0.06,0.06M,0.13,0.13M,2.48,2.48M
624,NBA 2K13,PS3,2012.0,Sports,Take-Two Interactive,1.72,1.72M,0.44,0.44M,0.05,0.05M,0.27,0.27M,2.48,2.48M
625,Rock Band,X360,,Misc,Electronic Arts,1.93,1.93M,0.34,0.34M,0.0,0.00M,0.21,0.21M,2.48,2.48M
626,NBA 2K14,X360,2013.0,Sports,Take-Two Interactive,2.1,2.10M,0.2,0.20M,0.0,0.00M,0.17,0.17M,2.47,2.47M
627,Mario Party 4,GC,2002.0,Misc,Nintendo,1.13,1.13M,0.36,0.36M,0.92,0.92M,0.07,0.07M,2.47,2.47M
628,uDraw Studio,Wii,2010.0,Misc,THQ,1.67,1.67M,0.58,0.58M,0.0,0.00M,0.2,0.20M,2.46,2.46M
629,Midnight Club: Los Angeles,PS3,2008.0,Racing,Take-Two Interactive,1.55,1.55M,0.54,0.54M,0.05,0.05M,0.31,0.31M,2.45,2.45M
630,Final Fantasy V,SNES,1992.0,Role-Playing,SquareSoft,0.0,0.00M,0.0,0.00M,2.43,2.43M,0.02,0.02M,2.45,2.45M
631,Final Fantasy Tactics,PS,1997.0,Role-Playing,SquareSoft,0.93,0.93M,0.12,0.12M,1.34,1.34M,0.06,0.06M,2.45,2.45M
632,Twisted Metal 2,PS,1996.0,Racing,Sony Computer Entertainment,2.12,2.12M,0.25,0.25M,0.0,0.00M,0.07,0.07M,2.44,2.44M
633,Halo: Combat Evolved Anniversary,X360,2011.0,Shooter,Microsoft Game Studios,1.44,1.44M,0.73,0.73M,0.04,0.04M,0.22,0.22M,2.44,2.44M
634,Need for Speed Carbon: Own the City,PSP,2006.0,Racing,Electronic Arts,0.87,0.87M,0.98,0.98M,0.0,0.00M,0.59,0.59M,2.44,2.44M
635,The Sims: Bustin' Out,PS2,2003.0,Simulation,Electronic Arts,1.07,1.07M,1.19,1.19M,0.0,0.00M,0.18,0.18M,2.43,2.43M
636,Riven: The Sequel to Myst,PC,1997.0,Adventure,Red Orb,1.52,1.52M,0.82,0.82M,0.0,0.00M,0.1,0.10M,2.43,2.43M
637,Tom Clancy's Rainbow Six: Vegas 2,X360,2008.0,Shooter,Ubisoft,1.56,1.56M,0.61,0.61M,0.02,0.02M,0.23,0.23M,2.42,2.42M
638,Sonic Adventure,DC,1998.0,Platform,Sega,1.26,1.26M,0.61,0.61M,0.46,0.46M,0.08,0.08M,2.42,2.42M
639,Ice Hockey,NES,1988.0,Sports,Nintendo,1.27,1.27M,0.32,0.32M,0.78,0.78M,0.05,0.05M,2.42,2.42M
640,pro evolution soccer 2011,PS3,2010.0,Sports,Konami Digital Entertainment,0.29,0.29M,1.18,1.18M,0.54,0.54M,0.41,0.41M,2.42,2.42M
641,Dragon Ball Z: Budokai 2,PS2,2003.0,Fighting,Atari,1.63,1.63M,0.22,0.22M,0.51,0.51M,0.06,0.06M,2.41,2.41M
642,ATV Offroad Fury,PS2,2001.0,Racing,Sony Computer Entertainment,2.07,2.07M,0.26,0.26M,0.0,0.00M,0.08,0.08M,2.41,2.41M
643,Dino Crisis,PS,1998.0,Action,Capcom,0.81,0.81M,0.76,0.76M,0.7,0.70M,0.14,0.14M,2.41,2.41M
644,Minecraft,XOne,2014.0,Misc,Microsoft Game Studios,1.43,1.43M,0.76,0.76M,0.0,0.00M,0.22,0.22M,2.41,2.41M
645,Need for Speed: ProStreet,PS2,2007.0,Racing,Electronic Arts,0.69,0.69M,0.0,0.00M,0.04,0.04M,1.68,1.68M,2.41,2.41M
646,Madden NFL 16,XOne,2015.0,Sports,Electronic Arts,2.07,2.07M,0.08,0.08M,0.0,0.00M,0.26,0.26M,2.4,2.40M
647,Tetris Plus,PS,1996.0,Puzzle,JVC,2.1,2.10M,0.24,0.24M,0.0,0.00M,0.07,0.07M,2.4,2.40M
648,Pro Wrestling,NES,1987.0,Fighting,Nintendo,0.77,0.77M,0.18,0.18M,1.42,1.42M,0.03,0.03M,2.4,2.40M
649,Theme Hospital,PC,1997.0,Strategy,Electronic Arts,2.3,2.30M,0.1,0.10M,0.0,0.00M,0.0,0.00M,2.4,2.40M
650,Frogger's Adventures: Temple of the Frog,GBA,,Adventure,Konami Digital Entertainment,2.15,2.15M,0.18,0.18M,0.0,0.00M,0.07,0.07M,2.39,2.39M
651,Need for Speed (2015),PS4,2015.0,Racing,Electronic Arts,0.49,0.49M,1.49,1.49M,0.05,0.05M,0.36,0.36M,2.39,2.39M
652,Zumba Fitness,X360,2010.0,Sports,505 Games,1.74,1.74M,0.48,0.48M,0.0,0.00M,0.18,0.18M,2.39,2.39M
653,LEGO Indiana Jones: The Original Adventures,Wii,,Action,LucasArts,1.54,1.54M,0.63,0.63M,0.0,0.00M,0.22,0.22M,2.39,2.39M
655,Monopoly,PC,1994.0,Misc,Hasbro Interactive,1.49,1.49M,0.81,0.81M,0.0,0.00M,0.1,0.10M,2.39,2.39M
656,Batman: Arkham Origins,PS3,2013.0,Action,Warner Bros. Interactive Entertainment,1.07,1.07M,0.87,0.87M,0.04,0.04M,0.4,0.40M,2.39,2.39M
657,Dead Island,X360,2011.0,Action,Deep Silver,1.48,1.48M,0.71,0.71M,0.0,0.00M,0.2,0.20M,2.39,2.39M
658,Guitar Hero,PS2,2005.0,Misc,RedOctane,1.67,1.67M,0.61,0.61M,0.03,0.03M,0.07,0.07M,2.38,2.38M
659,LEGO Star Wars: The Complete Saga,PS3,2007.0,Action,LucasArts,1.02,1.02M,0.97,0.97M,0.0,0.00M,0.39,0.39M,2.38,2.38M
660,Kinect: Disneyland Adventures,X360,2011.0,Misc,Microsoft Game Studios,1.73,1.73M,0.46,0.46M,0.02,0.02M,0.18,0.18M,2.38,2.38M
661,WCW/nWo Revenge,N64,1998.0,Fighting,THQ,1.94,1.94M,0.39,0.39M,0.03,0.03M,0.02,0.02M,2.38,2.38M
662,Bloodborne,PS4,2015.0,Action,Sony Computer Entertainment,1.0,1.00M,0.76,0.76M,0.26,0.26M,0.36,0.36M,2.38,2.38M
663,NBA 2K15,PS4,2014.0,Sports,Take-Two Interactive,1.46,1.46M,0.54,0.54M,0.01,0.01M,0.37,0.37M,2.38,2.38M
664,Madden NFL 11,PS3,2010.0,Sports,Electronic Arts,2.04,2.04M,0.15,0.15M,0.0,0.00M,0.19,0.19M,2.38,2.38M
665,Yu-Gi-Oh! The Duelists of the Roses,PS2,2001.0,Misc,Konami Digital Entertainment,1.16,1.16M,0.91,0.91M,0.0,0.00M,0.3,0.30M,2.38,2.38M
666,Madden NFL 08,X360,2007.0,Sports,Electronic Arts,2.18,2.18M,0.01,0.01M,0.0,0.00M,0.18,0.18M,2.37,2.37M
667,Half-Life 2,PC,2004.0,Shooter,Vivendi Games,2.28,2.28M,0.02,0.02M,0.08,0.08M,0.0,0.00M,2.37,2.37M
668,The Incredibles,PS2,2004.0,Action,THQ,0.96,0.96M,1.08,1.08M,0.04,0.04M,0.3,0.30M,2.37,2.37M
669,Tony Hawk's Underground 2,PS2,2004.0,Sports,Activision,1.25,1.25M,0.86,0.86M,0.01,0.01M,0.26,0.26M,2.37,2.37M
670,Madden NFL 10,PS3,2009.0,Sports,Electronic Arts,2.03,2.03M,0.13,0.13M,0.0,0.00M,0.21,0.21M,2.37,2.37M
671,Kinect Sports: Season Two,X360,2011.0,Sports,Microsoft Game Studios,1.38,1.38M,0.74,0.74M,0.02,0.02M,0.22,0.22M,2.36,2.36M
672,Kirby's Dream Land 2,GB,1995.0,Platform,Nintendo,0.69,0.69M,0.14,0.14M,1.48,1.48M,0.05,0.05M,2.36,2.36M
673,LEGO Harry Potter: Years 1-4,DS,2010.0,Action,Warner Bros. Interactive Entertainment,1.07,1.07M,1.05,1.05M,0.0,0.00M,0.23,0.23M,2.35,2.35M
674,Donkey Kong Land II,GB,1996.0,Platform,Nintendo,1.39,1.39M,0.48,0.48M,0.4,0.40M,0.08,0.08M,2.35,2.35M
675,Dragon Warrior Monsters,GB,1998.0,Role-Playing,Eidos Interactive,0.0,0.00M,0.0,0.00M,2.34,2.34M,0.01,0.01M,2.35,2.35M
676,Midnight Club: Los Angeles,X360,2008.0,Racing,Take-Two Interactive,1.68,1.68M,0.46,0.46M,0.01,0.01M,0.2,0.20M,2.35,2.35M
677,Skylanders SWAP Force,Wii,2013.0,Platform,Activision,1.32,1.32M,0.83,0.83M,0.0,0.00M,0.2,0.20M,2.34,2.34M
678,WWE SmackDown vs Raw 2008,PS2,2007.0,Fighting,THQ,0.92,0.92M,0.0,0.00M,0.01,0.01M,1.41,1.41M,2.34,2.34M
679,My Fitness Coach,Wii,2008.0,Sports,Ubisoft,1.2,1.20M,0.9,0.90M,0.0,0.00M,0.24,0.24M,2.34,2.34M
680,Resident Evil - Code: Veronica X,PS2,2001.0,Action,Capcom,1.08,1.08M,0.7,0.70M,0.34,0.34M,0.21,0.21M,2.34,2.34M
681,The Sims 3,X360,2010.0,Simulation,Electronic Arts,1.27,1.27M,0.86,0.86M,0.0,0.00M,0.2,0.20M,2.33,2.33M
682,The Legend of Zelda: Majora's Mask 3D,3DS,2015.0,Action,Nintendo,1.14,1.14M,0.54,0.54M,0.47,0.47M,0.17,0.17M,2.32,2.32M
683,NBA 2K16,XOne,2015.0,Sports,Take-Two Interactive,1.93,1.93M,0.14,0.14M,0.0,0.00M,0.24,0.24M,2.32,2.32M
684,Just Dance Kids,Wii,2010.0,Misc,Ubisoft,1.57,1.57M,0.56,0.56M,0.0,0.00M,0.19,0.19M,2.32,2.32M
685,Mario Tennis,N64,2000.0,Sports,Nintendo,0.78,0.78M,0.4,0.40M,1.06,1.06M,0.07,0.07M,2.32,2.32M
686,Grand Theft Auto,PS,1997.0,Action,Take-Two Interactive,0.79,0.79M,1.35,1.35M,0.04,0.04M,0.14,0.14M,2.32,2.32M
687,James Bond 007: Everything or Nothing,PS2,2004.0,Shooter,Electronic Arts,0.85,0.85M,1.06,1.06M,0.09,0.09M,0.32,0.32M,2.31,2.31M
688,WarioWare Touched!,DS,2004.0,Puzzle,Nintendo,0.52,0.52M,0.45,0.45M,1.21,1.21M,0.13,0.13M,2.31,2.31M
689,Need For Speed: High Stakes,PS,1999.0,Racing,Electronic Arts,1.58,1.58M,0.64,0.64M,0.0,0.00M,0.09,0.09M,2.31,2.31M
690,Chrono Trigger,SNES,1995.0,Role-Playing,SquareSoft,0.28,0.28M,0.0,0.00M,2.02,2.02M,0.01,0.01M,2.31,2.31M
691,Cool Boarders 3,PS,1998.0,Sports,989 Studios,1.65,1.65M,0.46,0.46M,0.1,0.10M,0.1,0.10M,2.31,2.31M
692,LEGO Marvel Super Heroes,X360,2013.0,Action,Warner Bros. Interactive Entertainment,1.24,1.24M,0.85,0.85M,0.0,0.00M,0.21,0.21M,2.3,2.30M
693,Guild Wars 2,PC,2012.0,Action,NCSoft,0.95,0.95M,1.06,1.06M,0.0,0.00M,0.29,0.29M,2.3,2.30M
694,Pokemon Ranger: Shadows of Almia,DS,2008.0,Role-Playing,Nintendo,0.95,0.95M,0.54,0.54M,0.62,0.62M,0.18,0.18M,2.3,2.30M
695,Dead Island,PS3,2011.0,Action,Deep Silver,1.08,1.08M,0.75,0.75M,0.15,0.15M,0.31,0.31M,2.29,2.29M
696,Tomb Raider II,PC,1997.0,Action,Eidos Interactive,0.91,0.91M,1.25,1.25M,0.0,0.00M,0.13,0.13M,2.29,2.29M
